class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Left,Female,2016,-0.025144728104145433,0.028506181637230926,0.02850618163723093,True,True,False
Left,Poor,2016,0.009079734316000322,0.029923151701153422,0.029923151701153422,False,False,False
Left,Rich,2016,0.006646992000654991,0.03003905454271004,0.030039054542710043,False,False,False
Left,Left,2016,-0.03959402968333564,0.0282289936077922,0.028228993607792203,True,True,True
Left,Right,2016,0.10156722698622904,0.030122069420563377,0.030122069420563377,True,True,True
Right,Young,2016,0.005584362003102723,0.032772635327834525,0.032772635327834525,False,False,False
Right,Old,2016,-0.015274946812398734,0.026337155044442936,0.026337155044442936,False,False,False
Right,Male,2016,-0.01994035525913624,0.028405493225352768,0.028405493225352768,True,False,False
Right,Female,2016,0.0009711082255587207,0.027327140331400008,0.027327140331400008,False,False,False
Right,Poor,2016,0.0021647231838001655,0.028487801764657383,0.028487801764657383,False,False,False
Right,Rich,2016,-0.0018876659816247456,0.02852466281537505,0.02852466281537505,False,False,False
Right,Left,2016,0.06264355572268625,0.028182075057282555,0.028182075057282555,True,True,True
Right,Right,2016,-0.026069139320331128,0.027349351111384645,0.027349351111384645,True,True,False
Young,Young,2017,0.05938546909939202,0.03151608167946914,0.03151608167946915,True,True,True
Young,Old,2017,-0.07776262191795523,0.027211323471542967,0.02721132347154296,True,True,True
Young,Male,2017,0.012111233091037244,0.028526466428354352,0.028526466428354352,False,False,False
Young,Female,2017,0.04143465742930325,0.02793467070425911,0.02793467070425911,True,True,True
Young,Poor,2017,0.013902760972158812,0.028957203249041507,0.02895720324904151,False,False,False
Young,Rich,2017,0.026014773056964535,0.028330304254651974,0.028330304254651974,True,True,False
Young,Left,2017,-0.03959047703040102,0.027798604392611538,0.02779860439261153,True,True,True
Young,Right,2017,0.015536537636004426,0.028171555645279678,0.028171555645279678,False,False,False
Old,Young,2017,-0.08085229408903975,0.030284682665785365,0.03028468266578537,True,True,True
