class_child,class_parent,year,param,down_err,up_err,signif,signif01,signif001
Right,Right,2016,-0.047749798656260035,0.02463530579667427,0.024635305796674268,True,True,True
Young,Young,2017,0.06173048221596616,0.02861104743576192,0.02861104743576192,True,True,True
Young,Old,2017,-0.07535009266687512,0.023903422027879373,0.023903422027879366,True,True,True
Young,Male,2017,-0.011777898847713743,0.025405109684995743,0.025405109684995743,False,False,False
Young,Female,2017,0.023468810015424526,0.024770317094873522,0.024770317094873522,True,True,False
Young,Poor,2017,-0.006200882984029102,0.02596930741487521,0.02596930741487521,False,False,False
Young,Rich,2017,0.03155581023027297,0.02509147649464782,0.025091476494647824,True,True,True
Young,Left,2017,-0.04090593197611193,0.024393192153851724,0.024393192153851728,True,True,True
Young,Right,2017,0.01082322142987998,0.024949239158245557,0.02494923915824556,False,False,False
Old,Young,2017,-0.08001219520665388,0.027032086099882432,0.027032086099882432,True,True,True
Old,Old,2017,0.09519740457288291,0.02149783139587129,0.02149783139587129,True,True,True
Old,Male,2017,-0.014218077551171332,0.02344602717344412,0.02344602717344412,True,False,False
Old,Female,2017,-0.01525263406249102,0.022652625621711477,0.02265262562171148,True,False,False
Old,Poor,2017,-0.01590030702730747,0.024176556378595858,0.02417655637859586,True,False,False
Old,Rich,2017,-0.0018662097362095174,0.02270421325716781,0.02270421325716781,False,False,False
Old,Left,2017,0.029787102136210383,0.022206040996946,0.022206040996945998,True,True,True
Old,Right,2017,-0.029040396388586288,0.02301164104425307,0.023011641044253073,True,True,True
Male,Young,2017,0.0003421311389096472,0.026028986674095842,0.026028986674095842,False,False,False
Male,Old,2017,-0.029279627531539364,0.02131752749206564,0.02131752749206564,True,True,True
Male,Male,2017,0.053571315815448016,0.02284108661386495,0.02284108661386495,True,True,True
Male,Female,2017,-0.01611661149706688,0.022255570973928007,0.022255570973928003,True,False,False
Male,Poor,2017,-0.002800002543550012,0.02347581992672219,0.02347581992672219,False,False,False
Male,Rich,2017,-0.0033928993106574,0.02242140616525885,0.02242140616525885,False,False,False
Male,Left,2017,0.0029244467882451894,0.021825309228076507,0.021825309228076507,False,False,False
Male,Right,2017,-0.007462353385587318,0.022492086520409797,0.022492086520409797,False,False,False
Female,Young,2017,0.02606538241544787,0.0266755064590863,0.0266755064590863,True,True,False
Female,Old,2017,-0.0024391896664696785,0.021576763317696358,0.021576763317696358,False,False,False
Female,Male,2017,-0.011755457668692442,0.02338565226745189,0.02338565226745189,False,False,False
Female,Female,2017,0.03459789703133147,0.02254886416931574,0.022548864169315744,True,True,True
Female,Poor,2017,-0.02338595141681505,0.02397521018973337,0.023975210189733368,True,True,False
Female,Rich,2017,-0.003377183480347678,0.022739694607368615,0.022739694607368615,False,False,False
Female,Left,2017,-0.0008646914408426331,0.022313350958664054,0.022313350958664054,False,False,False
Female,Right,2017,-0.031760516547446216,0.022840548327499682,0.022840548327499686,True,True,True
Poor,Young,2017,-0.005212286683519931,0.026515396250407212,0.026515396250407212,False,False,False
Poor,Old,2017,-0.025525105140935138,0.02192743507266067,0.02192743507266067,True,True,True
Poor,Male,2017,0.0008149811004892182,0.0233972143427492,0.0233972143427492,False,False,False
Poor,Female,2017,-0.007291512526113981,0.02282599234039171,0.02282599234039171,False,False,False
Poor,Poor,2017,0.06121753810405959,0.023899575242282492,0.0238995752422825,True,True,True
Poor,Rich,2017,-0.03344934793409917,0.023100115690891126,0.023100115690891126,True,True,True
